,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Story_Id,Title,Abstract
31,31,12.0,0.9987000226974487,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",187,Ein Projekttag und jede Menge Chaos,"Lina ist die Umwelt sehr wichtig. Deshalb fährt sie mit dem Fahrrad zur Schule und kauft ihre Kleider auf dem Flohmarkt. Nicht jeder versteht das. Ganz und gar nicht verstehen es Noah, Kilian und Leon aus ihrer Klasse. Die machen sich darüber eher lustig. Um auch ihren Klassenkameraden zu zeigen, wie wichtig es ist, das Klima zu schützen, plant Lina mit ihrer Klassenlehrerin einen Projekttag. Doch an diesem kommt alles anders als erwartet..."
32,32,13.0,0.8924000263214111,"Erde, Wasser, Mutter, Kopf, Haus, Auge, mein, Vater, Eltern, Baum",188,Das Müllmonster,"Das Müllmonster und der Regenwurm


Muff, das Müllmonster, war äußerst schlecht gelaunt. Warum, das wusste er gar nicht so genau. Die Maus und viele andere Tiere halfen ihm dabei, wieder froh und glücklich zu sein und dabei noch etwas für die Umwelt zu tun. Es passieren viele spannende Abenteuer, lasst euch überraschen ......."
33,33,7.0,0.9380999803543091,"Erde, Kind, Auge, Vater, Hand, Mutter, Haus, Wasser, Schule, Mama",189,Oma Honki ,"Neufrankfurt, 2117. Schulen gibt es noch immer. Präsentationen auch.
Paula und Navid machen sich zu zweit an die Arbeit. Sie interviewen die alte und furchteinflößende Oma Honki. Fasziniert und entsetzt erfahren sie von 2024 – dem Jahr, das alles veränderte und in dem Oma Honki genauso alt war wie Paula und Navid jetzt."
34,34,6.0,0.5745000243186951,"Auge, Tier, Mutter, Hand, Erde, Baum, Kind, Kopf, Eltern, Haus",194,Ninas Einsatz,"Nina kennt sich ziemlich gut in der Natur aus. Nicht nur zuhause auf dem Birkenhof setzt sie sich für die Umwelt ein, auch in der Schule ist sie bei den Fridays-for-Future-Aktionen aktiv. 
Als sie mit ihrem Rad zur Streuobstwiese fährt um Nistkästen aufzuhängen, beobachtet sie Bauer Bockel, der im Wasser- und Naturschutzgebiet Gülle ausfährt. Eine totale Katastrophe für die dort wachsenden Himmelsschlüsselchen und Orchideen. Schnell will sie Hilfe holen, doch sie stürzt und verliert ihr Gedächtnis. Wird Sternchen, ihr Pferd, sie finden? Gibt es ein Zurück aus dem Vergessen und Hoffnung für die zerstörte Natur?…."
35,35,12.0,0.6791999936103821,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",198,Hinter dem Regenbogen,"Der wissenhungrige und lebhafte Unternehmerssohn Allen wird zum Initiator und Gründer der Grüne-Biker-Gang HINTER DEM REGENBOGEN, nachdem er in einem Umweltmagazin über die fatalen Folgen des Klimawandels gelesen hatte. Seine Fahrrad-Gang und er nehmen die Herausforderung neuer Ziele zur Aufklärung und Motivation für eine bessere Umwelt ernst und werden in ihrer Stadt und in der Firma von Allens Vater aktiv, welche Raumfahrt-Equipment hergestellt."
36,36,0.0,0.8356000185012817,"Auge, Mutter, Kind, Baum, Kopf, Vater, Hand, Wasser, Frau, Welt",199,Oma erzählt,"Marie radelte voller Vorfreude an den bunten Wiesen vorbei. Heute war wieder Oma-Tag. Die beiden unternahmen stets wunderschöne Dinge, die Maries Herz zum Hüpfen brachte. 
Was sie dabei am meisten liebte, waren Omas Geschichten.  Besonders die, die von der Zeit vor dem ""Großen Erwachen""  erzählten, als Mama Gaia, ihre geliebte Erde,  fast gestorben wäre. Doch dann geschah ein Wunder...

"
37,37,6.0,0.38760000467300415,"Auge, Tier, Mutter, Hand, Erde, Baum, Kind, Kopf, Eltern, Haus",201,Alles nur wunschgedacht?,"Ein Wunsch frei. Wer träumt nicht davon? Für alle anderen scheint klar zu sein, was man sich da heutzutage wünschen sollte: kein Klimawandel natürlich! Offensichtlich scheinen sich dem zumindest alle außer mir bewusst zu sein. 
In meiner Schule werden regelmäßig diejenigen ausgelacht und beschimpft, die sich nicht den teuren veganen Aufschnitt leisten können, die nicht so viel über die Klimakrise wissen, und die, die beispielsweise wegen eines Rollstuhls mit den Auto zur Schule gebracht werden müssen. Ich finde das gemein und frage mich immer öfter, ob wir den Klimawandel nicht besser miteinander als gegeneinander besiegen sollten...
Ich habe meinen Wunsch schon ausgesprochen und - zack - zu spät. Vom einen auf den anderen Moment scheinen mich die anderen zu hassen: ""Du hättest das Klima mit einem Satz retten können!"" Dass dieser Tag, an dem ich mir eben nicht den Klimawandel weggewünscht habe, doch noch eine enorme Wendung nimmt, zeigt, dass mein Wunsch wohl doch nicht so übel war... "
38,38,19.0,0.9990000128746033,"Hand, Schule, mein, Frau, Kind, Mutter, alt, Erde, Tier, Papa",202,Nádar das Naturkind,"Emilia ist zehn und gerade in die Realschule gekommen. Einer ihrer neuen Mitschüler ist Nádar. Alle sagen immer der ist komisch. Und irgendwie stimmt das auch. Denn der Junge redet oft verwirrtes Zeug. Eines Tages auf dem Nachhauseweg, beobachtet Emilia Nádar dabei, wie er im Stadtpark Wasser herbeizaubert, damit halb vertrocknete Blumen gießt und sie wieder zum blühen bringt. Nádar ist ein Kind der Natur und hat deshalb magische Fähigkeiten. Er zeigt ihr, wozu die Natur gut ist und das man darin Spaß haben kann, aber auch, dass sie bedroht ist. Besonders durch den Bau einer neuen Süßwarenfabrik, am Fluss. Diese Fabrik lässt Emilias Onkel Hans errichten. Emilia möchte helfen. Doch zunächst will niemand auf sie hören. Schließlich kann sie ihre Mitschüler überzeugen, etwas zu unternehmen.
Mit vereinten Kräften versuchen die Kinder den Onkel zu überzeugen seine Fabrik umweltfreundlich zu bauen, doch dazu braucht es mehr, als Worte. Werden sie es schaffen?"
39,39,12.0,0.9991999864578247,"Auge, Erde, Hand, Baum, Schule, Welt, Eltern, Papa, Wasser, Frau",203,Der blaue Planet vor Jonathans Fenster,"Wenn Jonathan aus dem Fenster des Space Jets schaut, dann kann er den blauen Planeten sehen. So nennt Papa Andreas die Erde. Jonathans Familie lebt auf der ISS, deren dreitausendköpfige Bevölkerung an den Folgen der Klimaerwärmung leidet. Die Forschung auf der ISS läuft auf Hochtouren, denn die Erde muss sich wieder erholen. Und während Jonathan und sein großer Bruder Taro zwischen Hausaufgaben und Astrotraining davon träumen, zum ersten Mal in ihrem Leben einen Fuß auf die Erde zu setzen, hat Papa Andreas durch seine Arbeit an einem Umweltprojekt bereits seinen Fahrschein zur Erde..."
40,40,8.0,0.4120999872684479,"Auge, Vater, Mutter, Eltern, Tier, Welt, Kind, Haus, alt, Erde",207,Von dem mit dem man gern zum Mond fliegen möchte,"Emma, eine Siebtklässlerin ist in den Umweltcoach der Schule verliebt. Das Unverständnis ihrer Mitschüler lassen jeden Schultag zum Alptraum werden. Doch sie wollte nicht kneifen und alles hinwerfen, denn hier war der Ort, an dem sie für die Rettung unseres Planeten kämpfen wollte. Hier konnte sie sich engagieren, hier wurden ihre kühnen Ideen respektiert. Emma hatte bereits einen Plan, wie sie die Achtung ihrer Mitschüler wieder erwerben konnte... 
 "
